  -->Entradas:784
  -->Salidas:6
  -->Patrones:300
  -->Entradas:784
  -->Salidas:6
  -->Patrones:900
**********
SEMILLA 1
**********
11	9.88889	-nan
11.3333	9.77778	-nan
11	9.77778	-nan
12	10	-nan
12	10.1111	-nan
12	10	-nan
12	10.2222	-nan
12.3333	10.1111	-nan
12.3333	10	-nan
12.6667	9.88889	-nan
12.6667	9.77778	-nan
12.6667	10	-nan
13	9.88889	-nan
13.6667	10.1111	-nan
13.6667	10.1111	-nan
14	10.2222	-nan
14	10.1111	-nan
14	10.1111	-nan
14.6667	10.1111	-nan
14.3333	10.2222	-nan
14.3333	10.6667	-nan
15.3333	10.7778	-nan
17.6667	11.3333	-nan
19	12	-nan
20.3333	13.3333	-nan
20.6667	13.6667	-nan
20.6667	14.2222	-nan
21	14.3333	-nan
21.3333	14.6667	-nan
22	14.7778	-nan
22.3333	15.2222	-nan
22.3333	15.4444	-nan
22.6667	15.5556	-nan
22.3333	15.6667	-nan
22.6667	15.7778	-nan
23.3333	17.7778	-nan
24	18.2222	-nan
24.6667	18.8889	-nan
25.3333	18.6667	-nan
26	18.8889	-nan
26.3333	19.2222	-nan
27	19.5556	-nan
26.6667	19.6667	-nan
27	20	-nan
27.3333	20	-nan
27.6667	20.1111	-nan
27.6667	20.4444	-nan
27.6667	20.5556	-nan
28	21.4444	-nan
27.6667	21.4444	-nan
28	21.6667	-nan
28.3333	21.5556	-nan
28.3333	21.7778	-nan
28.3333	21.7778	-nan
28.6667	21.8889	-nan
29	22.1111	-nan
29	22.3333	-nan
29.3333	22.5556	-nan
29.3333	23.1111	-nan
31	24.5556	-nan
31.3333	24.5556	-nan
31.6667	24.7778	-nan
31.6667	24.7778	-nan
31.6667	24.8889	-nan
31.6667	25.3333	-nan
32.6667	25.8889	-nan
32.6667	25.8889	-nan
34	26	-nan
34.3333	26.1111	-nan
34.3333	26.2222	-nan
34.3333	26.1111	-nan
34.3333	26.2222	-nan
34	26.2222	-nan
34	26.4444	-nan
34.6667	26.4444	-nan
34.6667	26.4444	-nan
34.6667	26.4444	-nan
35.3333	26.7778	-nan
35.6667	26.8889	-nan
35.3333	27.1111	-nan
35.6667	27.4444	-nan
35	27.6667	-nan
35.3333	27.5556	-nan
35.3333	27.7778	-nan
35.6667	28	-nan
36	28.1111	-nan
36.3333	28.1111	-nan
36.6667	28.3333	-nan
36.6667	28.7778	-nan
